페이지	키워드	제목	NEWS_URL | MEDIA_URL
1	유로 2016	<유로2016> 16강 대진 확정 "이변은 없었다"	이탈리아-스페인 16강전 최대 '빅 매치' 북아일랜드-웨일스도 첫 본선 출전국 맞대결로 관심 2016 유럽축구선수권대회() 16강 대진이 23일(이하 한국시간) 확정됐다. 이변은 없었다. A조에서는 1위 프랑스, 2위...
1	유로 2016	[유로2016]완성된 16강 대진, 언더독만 신났네	이번 에는 국가 공휴일을 만들어야 할 나라가 제법 된다. 언더독의 약진, 완성된  16강 대진을 관통하는 키워드다.  16강 대진이 완성됐다. 23일(한국시각) 경기를 끝으로 토너먼트에 오를 16팀이...
1	유로 2016	유로 2016 16강 진출 팀 확정	결승전은 다음달 10일 열린다.   16강 대진 △스위스-폴란드(25일 오후 10시) △웨일스-북아일랜드(26일 오전 1시) △크로아티아-포르투갈(26일 오전 4시) △프랑스-아일랜드(26일 오후 10시)...
1	유로 2016	<유로 2016> 16강전 돌입, 치열한 '축구 전쟁' 시작된다	6월 11일 개막한 유럽 최고의 축구 축제 <>이 지난 23일 아일랜드가 16강행 마지막 티켓을 거머쥐면서 조별리그를 마무리 지었다. 프랑스 전역에 걸쳐 한 달간 펼쳐지는 <>은 이번 대회부터 기존...
1	유로 2016	[유로2016] 웨일스 '영웅'으로 떠오른 가레스 베일, 더 큰 꿈을 품다	[스포츠월드=권영준 기자] “, 웨일스의 목표는 우승입니다. ” 웨일스의 영웅으로 떠오른 가레스 베일(레알 마드리드)가 우승을 향한 질주를 예고했다. 베일은 웨일스의 간판 스타로 2016 유럽축구선수권대회...
1	유로 2016	유로 2016 '극과 극' 16강 대결...빅매치 풍성	[앵커]  16강 대결이 내일 밤부터 시작됩니다. 공교롭게 우승 후보들이 한쪽으로 쏠리면서 미리 보는 결승전이 속출할 전망입니다. 우승 후보들은 울상이지만, 팬들은 즐겁습니다. 김재형 기자입니다. [기자] 유로...
1	유로 2016	英 언론, ‘기대 저버린 유로 2016 11명’ 선정…누구?	Gettyimages이매진스 [동아닷컴]  대회가 한창인 지금, 기대 이하의 실력을 선보인 선수는 누구일까. 영국 언론 '메트로'는 24일(이하 한국시각) "가레스 베일(웨일스), 디미트리 파예(프랑스), 안드레스...
1	유로 2016	[유로2016] 운명의 토너먼트, 섣부른 예측을 삼가라	[매경닷컴 MK스포츠 윤진만 기자]  본선을 앞두고 유럽 언론, 축구 도박사 할 것 없이 저마다 우승후보를 공개했다. 각기 다른 사무실에서 진행한 이 예측은 약속이나 한 듯 개최국 프랑스, 월드 챔피언 독일...
1	유로 2016	유로 16강 와일드카드 4팀, 복병은 어디?	[골닷컴] 김현우 에디터 =  조별리그가 마무리되고 16강 대진이 확정됐다. 이번 대회부터 참가 팀이 24개로 늘어나면서 3위 와일드카드로 네 팀이 16강에 합류했다. 네 팀의 전력과 핵심 선수, 약점을 간략하게...
1	유로 2016	[유로2016] '골'보다 '스토리'…변방의 기세, 16강 판도 흔들까	에서 본선 사상 첫 16강행을 이끈 웨일스의 애런 램지, 개러스 베일(왼쪽부터). 캡처 |  페이스북 [스포츠서울 김용일기자] 토너먼트 경험이 많은 강호의 잔치냐, 조별리그서 태풍의 눈으로 떠오른...
2	유로 2016	유로 2016 16강 완성...우승후보 '쏠림 현상'	김재형 / 스포츠부 기자 [앵커] 작은 미니월드컵 의 조별리그가 끝나면서 16강의 대진표가 완성이 됐습니다. 스포츠부 김재형 기자와 함께 정리를 한번 해 보겠습니다. 안녕하세요. [기자] 안녕하세요. [앵커]...
2	유로 2016	유로 2016 '극과 극' 16강 대결...빅매치 풍성	[앵커] 미니 월드컵  조별리그가 끝나면서 16강 대진표가 완성됐습니다. 공교롭게 우승 후보들이 한쪽으로 쏠리면서 미리 보는 결승전이 속출할 전망입니다. 우승 후보들은 울상이지만, 팬들은 즐겁습니다....
